id,title,description,severity,scanner,scanner_type,rule_id,file_path,line_start,line_end,cve_id,cwe_id,fix_available,is_suppressed,suppression_kind,suppression_justification,detected_at,code_snippet,tags,properties,references,raw_data
bandit-B110-2792,B110,"Try, Except, Pass detected.",LOW,bandit,UNKNOWN,B110,deployment/agent-code/agent.py,232,235,,,,False,,,2026-03-10T20:47:19.587088+00:00,"await websocket.close(code=1011, reason=str(e)[:120])
            except Exception:
                pass
else:","[""bandit""]","{""tags"": [""bandit""], ""issue_confidence"": ""HIGH"", ""issue_severity"": ""LOW"", ""scanner_name"": ""bandit"", ""scanner_version"": ""3.2.3"", ""scanner_details"": {""tool_name"": ""bandit"", ""tool_version"": ""3.2.3"", ""tool_invocation"": {""start_time"": ""2026-03-10T20:46:34.409010+00:00"", ""end_time"": ""2026-03-10T20:46:36.871117+00:00""}}}",,"{""ruleId"":""B110"",""ruleIndex"":-1,""kind"":""fail"",""level"":""note"",""message"":{""text"":""Try, Except, Pass detected."",""arguments"":[]},""locations"":[{""id"":-1,""physicalLocation"":{""artifactLocation"":{""uri"":""deployment/agent-code/agent.py"",""index"":-1},""region"":{""startLine"":233,""startColumn"":13,""endLine"":234,""endColumn"":21,""charOffset"":-1,""byteOffset"":-1,""snippet"":{""text"":""            except Exception:\n""}},""contextRegion"":{""startLine"":232,""endLine"":235,""charOffset"":-1,""byteOffset"":-1,""snippet"":{""text"":""                await websocket.close(code=1011, reason=str(e)[:120])\n            except Exception:\n                pass\nelse:\n""}}},""logicalLocations"":[],""annotations"":[],""relationships"":[]}],""stacks"":[],""codeFlows"":[],""graphs"":[],""graphTraversals"":[],""relatedLocations"":[],""rank"":-1.0,""attachments"":[],""fixes"":[],""taxa"":[],""properties"":{""tags"":[""bandit""],""issue_confidence"":""HIGH"",""issue_severity"":""LOW"",""scanner_name"":""bandit"",""scanner_version"":""3.2.3"",""scanner_details"":{""tool_name"":""bandit"",""tool_version"":""3.2.3"",""tool_invocation"":{""start_time"":""2026-03-10T20:46:34.409010+00:00"",""end_time"":""2026-03-10T20:46:36.871117+00:00""}}}}"
bandit-B311-9876,B311,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,LOW,bandit,UNKNOWN,B311,deployment/load-sample-data.py,76,78,,,,False,,,2026-03-10T20:47:19.587209+00:00,"# Normal temperature with small variation
            temp = equipment['target'] + random.uniform(-2, 2)","[""bandit""]","{""tags"": [""bandit""], ""issue_confidence"": ""HIGH"", ""issue_severity"": ""LOW"", ""scanner_name"": ""bandit"", ""scanner_version"": ""3.2.3"", ""scanner_details"": {""tool_name"": ""bandit"", ""tool_version"": ""3.2.3"", ""tool_invocation"": {""start_time"": ""2026-03-10T20:46:34.409010+00:00"", ""end_time"": ""2026-03-10T20:46:36.871117+00:00""}}}",,"{""ruleId"":""B311"",""ruleIndex"":-1,""kind"":""fail"",""level"":""note"",""message"":{""text"":""Standard pseudo-random generators are not suitable for security/cryptographic purposes."",""arguments"":[]},""locations"":[{""id"":-1,""physicalLocation"":{""artifactLocation"":{""uri"":""deployment/load-sample-data.py"",""index"":-1},""region"":{""startLine"":77,""startColumn"":42,""endLine"":77,""endColumn"":63,""charOffset"":-1,""byteOffset"":-1,""snippet"":{""text"":""            temp = equipment['target'] + random.uniform(-2, 2)\n""}},""contextRegion"":{""startLine"":76,""endLine"":78,""charOffset"":-1,""byteOffset"":-1,""snippet"":{""text"":""            # Normal temperature with small variation\n            temp = equipment['target'] + random.uniform(-2, 2)\n            \n""}}},""logicalLocations"":[],""annotations"":[],""relationships"":[]}],""stacks"":[],""codeFlows"":[],""graphs"":[],""graphTraversals"":[],""relatedLocations"":[],""rank"":-1.0,""attachments"":[],""fixes"":[],""taxa"":[],""properties"":{""tags"":[""bandit""],""issue_confidence"":""HIGH"",""issue_severity"":""LOW"",""scanner_name"":""bandit"",""scanner_version"":""3.2.3"",""scanner_details"":{""tool_name"":""bandit"",""tool_version"":""3.2.3"",""tool_invocation"":{""start_time"":""2026-03-10T20:46:34.409010+00:00"",""end_time"":""2026-03-10T20:46:36.871117+00:00""}}}}"
bandit-B311-9876,B311,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,LOW,bandit,UNKNOWN,B311,deployment/load-sample-data.py,102,104,,,,False,,,2026-03-10T20:47:19.587248+00:00,"# Normal stock levels
            quantity = item['reorder'] * random.uniform(1.5, 3.0)","[""bandit""]","{""tags"": [""bandit""], ""issue_confidence"": ""HIGH"", ""issue_severity"": ""LOW"", ""scanner_name"": ""bandit"", ""scanner_version"": ""3.2.3"", ""scanner_details"": {""tool_name"": ""bandit"", ""tool_version"": ""3.2.3"", ""tool_invocation"": {""start_time"": ""2026-03-10T20:46:34.409010+00:00"", ""end_time"": ""2026-03-10T20:46:36.871117+00:00""}}}",,"{""ruleId"":""B311"",""ruleIndex"":-1,""kind"":""fail"",""level"":""note"",""message"":{""text"":""Standard pseudo-random generators are not suitable for security/cryptographic purposes."",""arguments"":[]},""locations"":[{""id"":-1,""physicalLocation"":{""artifactLocation"":{""uri"":""deployment/load-sample-data.py"",""index"":-1},""region"":{""startLine"":103,""startColumn"":42,""endLine"":103,""endColumn"":66,""charOffset"":-1,""byteOffset"":-1,""snippet"":{""text"":""            quantity = item['reorder'] * random.uniform(1.5, 3.0)\n""}},""contextRegion"":{""startLine"":102,""endLine"":104,""charOffset"":-1,""byteOffset"":-1,""snippet"":{""text"":""            # Normal stock levels\n            quantity = item['reorder'] * random.uniform(1.5, 3.0)\n            \n""}}},""logicalLocations"":[],""annotations"":[],""relationships"":[]}],""stacks"":[],""codeFlows"":[],""graphs"":[],""graphTraversals"":[],""relatedLocations"":[],""rank"":-1.0,""attachments"":[],""fixes"":[],""taxa"":[],""properties"":{""tags"":[""bandit""],""issue_confidence"":""HIGH"",""issue_severity"":""LOW"",""scanner_name"":""bandit"",""scanner_version"":""3.2.3"",""scanner_details"":{""tool_name"":""bandit"",""tool_version"":""3.2.3"",""tool_invocation"":{""start_time"":""2026-03-10T20:46:34.409010+00:00"",""end_time"":""2026-03-10T20:46:36.871117+00:00""}}}}"
bandit-B311-9876,B311,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,LOW,bandit,UNKNOWN,B311,deployment/load-sample-data.py,138,140,,,,False,,,2026-03-10T20:47:19.587272+00:00,"# Normal staffing
                    required = random.randint(2, 5)","[""bandit""]","{""tags"": [""bandit""], ""issue_confidence"": ""HIGH"", ""issue_severity"": ""LOW"", ""scanner_name"": ""bandit"", ""scanner_version"": ""3.2.3"", ""scanner_details"": {""tool_name"": ""bandit"", ""tool_version"": ""3.2.3"", ""tool_invocation"": {""start_time"": ""2026-03-10T20:46:34.409010+00:00"", ""end_time"": ""2026-03-10T20:46:36.871117+00:00""}}}",,"{""ruleId"":""B311"",""ruleIndex"":-1,""kind"":""fail"",""level"":""note"",""message"":{""text"":""Standard pseudo-random generators are not suitable for security/cryptographic purposes."",""arguments"":[]},""locations"":[{""id"":-1,""physicalLocation"":{""artifactLocation"":{""uri"":""deployment/load-sample-data.py"",""index"":-1},""region"":{""startLine"":139,""startColumn"":32,""endLine"":139,""endColumn"":52,""charOffset"":-1,""byteOffset"":-1,""snippet"":{""text"":""                    required = random.randint(2, 5)\n""}},""contextRegion"":{""startLine"":138,""endLine"":140,""charOffset"":-1,""byteOffset"":-1,""snippet"":{""text"":""                    # Normal staffing\n                    required = random.randint(2, 5)\n                    \n""}}},""logicalLocations"":[],""annotations"":[],""relationships"":[]}],""stacks"":[],""codeFlows"":[],""graphs"":[],""graphTraversals"":[],""relatedLocations"":[],""rank"":-1.0,""attachments"":[],""fixes"":[],""taxa"":[],""properties"":{""tags"":[""bandit""],""issue_confidence"":""HIGH"",""issue_severity"":""LOW"",""scanner_name"":""bandit"",""scanner_version"":""3.2.3"",""scanner_details"":{""tool_name"":""bandit"",""tool_version"":""3.2.3"",""tool_invocation"":{""start_time"":""2026-03-10T20:46:34.409010+00:00"",""end_time"":""2026-03-10T20:46:36.871117+00:00""}}}}"
detect-secrets-SECRET-BASE64-HIGH-ENTROPY-STRING-9528,SECRET-BASE64-HIGH-ENTROPY-STRING,Secret of type 'Base64 High Entropy String' detected in file 'frontend/login.html' at line 7,HIGH,detect-secrets,UNKNOWN,SECRET-BASE64-HIGH-ENTROPY-STRING,frontend/login.html,7,7,,,,False,,,2026-03-10T20:47:19.587314+00:00,Secret of type Base64 High Entropy String detected,"[""detect-secrets"", ""secret"", ""security"", ""tool_name::detect-secrets"", ""tool_type::SECRETS""]","{""tags"": [""detect-secrets"", ""secret"", ""security"", ""tool_name::detect-secrets"", ""tool_type::SECRETS""], ""scanner_name"": ""detect-secrets"", ""scanner_version"": ""3.2.3"", ""scanner_details"": {""tool_name"": ""detect-secrets"", ""tool_version"": ""3.2.3"", ""tool_invocation"": {""start_time"": ""2026-03-10T20:46:34.413655+00:00"", ""end_time"": ""2026-03-10T20:46:39.829661+00:00""}}}",,"{""ruleId"":""SECRET-BASE64-HIGH-ENTROPY-STRING"",""ruleIndex"":-1,""kind"":""fail"",""level"":""error"",""message"":{""text"":""Secret of type 'Base64 High Entropy String' detected in file 'frontend/login.html' at line 7"",""arguments"":[]},""locations"":[{""id"":1,""physicalLocation"":{""artifactLocation"":{""uri"":""frontend/login.html"",""index"":-1},""region"":{""startLine"":7,""endLine"":7,""charOffset"":-1,""byteOffset"":-1,""snippet"":{""text"":""Secret of type Base64 High Entropy String detected""}}},""logicalLocations"":[],""annotations"":[],""relationships"":[]}],""stacks"":[],""codeFlows"":[],""graphs"":[],""graphTraversals"":[],""relatedLocations"":[],""rank"":-1.0,""attachments"":[],""fixes"":[],""taxa"":[],""properties"":{""tags"":[""detect-secrets"",""secret"",""security"",""tool_name::detect-secrets"",""tool_type::SECRETS""],""scanner_name"":""detect-secrets"",""scanner_version"":""3.2.3"",""scanner_details"":{""tool_name"":""detect-secrets"",""tool_version"":""3.2.3"",""tool_invocation"":{""start_time"":""2026-03-10T20:46:34.413655+00:00"",""end_time"":""2026-03-10T20:46:39.829661+00:00""}}}}"
detect-secrets-SECRET-SECRET-KEYWORD-3567,SECRET-SECRET-KEYWORD,Secret of type 'Secret Keyword' detected in file 'deployment/restaurant-monitoring-base-template.yaml' at line 1059,HIGH,detect-secrets,UNKNOWN,SECRET-SECRET-KEYWORD,deployment/restaurant-monitoring-base-template.yaml,1059,1059,,,,False,,,2026-03-10T20:47:19.587345+00:00,Secret of type Secret Keyword detected,"[""detect-secrets"", ""secret"", ""security"", ""tool_name::detect-secrets"", ""tool_type::SECRETS""]","{""tags"": [""detect-secrets"", ""secret"", ""security"", ""tool_name::detect-secrets"", ""tool_type::SECRETS""], ""scanner_name"": ""detect-secrets"", ""scanner_version"": ""3.2.3"", ""scanner_details"": {""tool_name"": ""detect-secrets"", ""tool_version"": ""3.2.3"", ""tool_invocation"": {""start_time"": ""2026-03-10T20:46:34.413655+00:00"", ""end_time"": ""2026-03-10T20:46:39.829661+00:00""}}}",,"{""ruleId"":""SECRET-SECRET-KEYWORD"",""ruleIndex"":-1,""kind"":""fail"",""level"":""error"",""message"":{""text"":""Secret of type 'Secret Keyword' detected in file 'deployment/restaurant-monitoring-base-template.yaml' at line 1059"",""arguments"":[]},""locations"":[{""id"":1,""physicalLocation"":{""artifactLocation"":{""uri"":""deployment/restaurant-monitoring-base-template.yaml"",""index"":-1},""region"":{""startLine"":1059,""endLine"":1059,""charOffset"":-1,""byteOffset"":-1,""snippet"":{""text"":""Secret of type Secret Keyword detected""}}},""logicalLocations"":[],""annotations"":[],""relationships"":[]}],""stacks"":[],""codeFlows"":[],""graphs"":[],""graphTraversals"":[],""relatedLocations"":[],""rank"":-1.0,""attachments"":[],""fixes"":[],""taxa"":[],""properties"":{""tags"":[""detect-secrets"",""secret"",""security"",""tool_name::detect-secrets"",""tool_type::SECRETS""],""scanner_name"":""detect-secrets"",""scanner_version"":""3.2.3"",""scanner_details"":{""tool_name"":""detect-secrets"",""tool_version"":""3.2.3"",""tool_invocation"":{""start_time"":""2026-03-10T20:46:34.413655+00:00"",""end_time"":""2026-03-10T20:46:39.829661+00:00""}}}}"
detect-secrets-SECRET-BASE64-HIGH-ENTROPY-STRING-4481,SECRET-BASE64-HIGH-ENTROPY-STRING,Secret of type 'Base64 High Entropy String' detected in file 'frontend/3d-twin.html' at line 12,HIGH,detect-secrets,UNKNOWN,SECRET-BASE64-HIGH-ENTROPY-STRING,frontend/3d-twin.html,12,12,,,,False,,,2026-03-10T20:47:19.587371+00:00,Secret of type Base64 High Entropy String detected,"[""detect-secrets"", ""secret"", ""security"", ""tool_name::detect-secrets"", ""tool_type::SECRETS""]","{""tags"": [""detect-secrets"", ""secret"", ""security"", ""tool_name::detect-secrets"", ""tool_type::SECRETS""], ""scanner_name"": ""detect-secrets"", ""scanner_version"": ""3.2.3"", ""scanner_details"": {""tool_name"": ""detect-secrets"", ""tool_version"": ""3.2.3"", ""tool_invocation"": {""start_time"": ""2026-03-10T20:46:34.413655+00:00"", ""end_time"": ""2026-03-10T20:46:39.829661+00:00""}}}",,"{""ruleId"":""SECRET-BASE64-HIGH-ENTROPY-STRING"",""ruleIndex"":-1,""kind"":""fail"",""level"":""error"",""message"":{""text"":""Secret of type 'Base64 High Entropy String' detected in file 'frontend/3d-twin.html' at line 12"",""arguments"":[]},""locations"":[{""id"":1,""physicalLocation"":{""artifactLocation"":{""uri"":""frontend/3d-twin.html"",""index"":-1},""region"":{""startLine"":12,""endLine"":12,""charOffset"":-1,""byteOffset"":-1,""snippet"":{""text"":""Secret of type Base64 High Entropy String detected""}}},""logicalLocations"":[],""annotations"":[],""relationships"":[]}],""stacks"":[],""codeFlows"":[],""graphs"":[],""graphTraversals"":[],""relatedLocations"":[],""rank"":-1.0,""attachments"":[],""fixes"":[],""taxa"":[],""properties"":{""tags"":[""detect-secrets"",""secret"",""security"",""tool_name::detect-secrets"",""tool_type::SECRETS""],""scanner_name"":""detect-secrets"",""scanner_version"":""3.2.3"",""scanner_details"":{""tool_name"":""detect-secrets"",""tool_version"":""3.2.3"",""tool_invocation"":{""start_time"":""2026-03-10T20:46:34.413655+00:00"",""end_time"":""2026-03-10T20:46:39.829661+00:00""}}}}"
detect-secrets-SECRET-BASE64-HIGH-ENTROPY-STRING-46,SECRET-BASE64-HIGH-ENTROPY-STRING,Secret of type 'Base64 High Entropy String' detected in file 'frontend/3d-twin.html' at line 13,HIGH,detect-secrets,UNKNOWN,SECRET-BASE64-HIGH-ENTROPY-STRING,frontend/3d-twin.html,13,13,,,,False,,,2026-03-10T20:47:19.587388+00:00,Secret of type Base64 High Entropy String detected,"[""detect-secrets"", ""secret"", ""security"", ""tool_name::detect-secrets"", ""tool_type::SECRETS""]","{""tags"": [""detect-secrets"", ""secret"", ""security"", ""tool_name::detect-secrets"", ""tool_type::SECRETS""], ""scanner_name"": ""detect-secrets"", ""scanner_version"": ""3.2.3"", ""scanner_details"": {""tool_name"": ""detect-secrets"", ""tool_version"": ""3.2.3"", ""tool_invocation"": {""start_time"": ""2026-03-10T20:46:34.413655+00:00"", ""end_time"": ""2026-03-10T20:46:39.829661+00:00""}}}",,"{""ruleId"":""SECRET-BASE64-HIGH-ENTROPY-STRING"",""ruleIndex"":-1,""kind"":""fail"",""level"":""error"",""message"":{""text"":""Secret of type 'Base64 High Entropy String' detected in file 'frontend/3d-twin.html' at line 13"",""arguments"":[]},""locations"":[{""id"":1,""physicalLocation"":{""artifactLocation"":{""uri"":""frontend/3d-twin.html"",""index"":-1},""region"":{""startLine"":13,""endLine"":13,""charOffset"":-1,""byteOffset"":-1,""snippet"":{""text"":""Secret of type Base64 High Entropy String detected""}}},""logicalLocations"":[],""annotations"":[],""relationships"":[]}],""stacks"":[],""codeFlows"":[],""graphs"":[],""graphTraversals"":[],""relatedLocations"":[],""rank"":-1.0,""attachments"":[],""fixes"":[],""taxa"":[],""properties"":{""tags"":[""detect-secrets"",""secret"",""security"",""tool_name::detect-secrets"",""tool_type::SECRETS""],""scanner_name"":""detect-secrets"",""scanner_version"":""3.2.3"",""scanner_details"":{""tool_name"":""detect-secrets"",""tool_version"":""3.2.3"",""tool_invocation"":{""start_time"":""2026-03-10T20:46:34.413655+00:00"",""end_time"":""2026-03-10T20:46:39.829661+00:00""}}}}"
cdk-nag-AwsSolutions-KMS5-5379,AwsSolutions-KMS5,"The KMS Symmetric key does not have automatic key rotation enabled.

Exception Reason: N/A",INFO,cdk-nag,UNKNOWN,AwsSolutions-KMS5,deployment/chat-endpoint.yaml,22,22,,,,False,,,2026-03-10T20:47:19.587422+00:00,"Resources:
  ChatLambdaEnvEncryptionKey:
    Properties:
      Description: KMS key for Chat Lambda env var encryption
      EnableKeyRotation: true
      KeyPolicy:
        Statement:
          - Action: kms:*
            Effect: Allow
            Principal:
              AWS:
                Fn::Sub: arn:aws:iam::${AWS::AccountId}:root
            Resource: '*'
            Sid: AllowRootAccount
          - Action:
              - kms:Decrypt
              - kms:DescribeKey
            Effect: Allow
            Principal:
              Service: lambda.amazonaws.com
            Resource: '*'
            Sid: AllowLambdaUse
        Version: '2012-10-17'
    Type: AWS::KMS::Key","[""aws"", ""cdk"", ""cdk-nag"", ""AwsSolutions"", ""AwsSolutions-KMS5"", ""ChatLambdaEnvEncryptionKey"", ""AWS::KMS::Key"", ""tool_name::cdk-nag"", ""tool_type::IAC""]","{""tags"": [""aws"", ""cdk"", ""cdk-nag"", ""AwsSolutions"", ""AwsSolutions-KMS5"", ""ChatLambdaEnvEncryptionKey"", ""AWS::KMS::Key"", ""tool_name::cdk-nag"", ""tool_type::IAC""], ""cdk_nag_finding"": {""rule_id"": ""AwsSolutions-KMS5"", ""resource_id"": ""ASHCDKNagScanner/deployment--chat-endpoint.yaml/ChatLambdaEnvEncryptionKey"", ""compliance"": ""Compliant"", ""exception_reason"": ""N/A"", ""rule_level"": ""Error"", ""rule_info"": ""The KMS Symmetric key does not have automatic key rotation enabled.""}, ""cfn_resource"": {""Resources"": {""ChatLambdaEnvEncryptionKey"": {""Type"": ""AWS::KMS::Key"", ""Properties"": {""Description"": ""KMS key for Chat Lambda env var encryption"", ""EnableKeyRotation"": true, ""KeyPolicy"": {""Version"": ""2012-10-17"", ""Statement"": [{""Sid"": ""AllowRootAccount"", ""Effect"": ""Allow"", ""Principal"": {""AWS"": {""Fn::Sub"": ""arn:aws:iam::${AWS::AccountId}:root""}}, ""Action"": ""kms:*"", ""Resource"": ""*""}, {""Sid"": ""AllowLambdaUse"", ""Effect"": ""Allow"", ""Principal"": {""Service"": ""lambda.amazonaws.com""}, ""Action"": [""kms:Decrypt"", ""kms:DescribeKey""], ""Resource"": ""*""}]}}}}}, ""scanner_name"": ""cdk-nag"", ""scanner_version"": ""3.2.3"", ""scanner_details"": {""tool_name"": ""cdk-nag"", ""tool_version"": ""3.2.3"", ""tool_invocation"": {""start_time"": ""2026-03-10T20:46:34.416503+00:00"", ""end_time"": ""2026-03-10T20:46:44.815020+00:00""}}}",,"{""ruleId"":""AwsSolutions-KMS5"",""ruleIndex"":-1,""kind"":""informational"",""level"":""none"",""message"":{""text"":""The KMS Symmetric key does not have automatic key rotation enabled.\n\nException Reason: N/A"",""arguments"":[]},""analysisTarget"":{""uri"":""deployment/chat-endpoint.yaml"",""index"":-1},""locations"":[{""id"":1,""physicalLocation"":{""artifactLocation"":{""uri"":""deployment/chat-endpoint.yaml"",""index"":-1},""region"":{""startLine"":22,""startColumn"":2,""endLine"":22,""endColumn"":28,""charOffset"":-1,""byteOffset"":-1,""snippet"":{""text"":""Resources:\n  ChatLambdaEnvEncryptionKey:\n    Properties:\n      Description: KMS key for Chat Lambda env var encryption\n      EnableKeyRotation: true\n      KeyPolicy:\n        Statement:\n          - Action: kms:*\n            Effect: Allow\n            Principal:\n              AWS:\n                Fn::Sub: arn:aws:iam::${AWS::AccountId}:root\n            Resource: '*'\n            Sid: AllowRootAccount\n          - Action:\n              - kms:Decrypt\n              - kms:DescribeKey\n            Effect: Allow\n            Principal:\n              Service: lambda.amazonaws.com\n            Resource: '*'\n            Sid: AllowLambdaUse\n        Version: '2012-10-17'\n    Type: AWS::KMS::Key\n""}}},""logicalLocations"":[],""annotations"":[],""relationships"":[]}],""stacks"":[],""codeFlows"":[],""graphs"":[],""graphTraversals"":[],""relatedLocations"":[],""rank"":-1.0,""attachments"":[],""fixes"":[],""taxa"":[],""properties"":{""tags"":[""aws"",""cdk"",""cdk-nag"",""AwsSolutions"",""AwsSolutions-KMS5"",""ChatLambdaEnvEncryptionKey"",""AWS::KMS::Key"",""tool_name::cdk-nag"",""tool_type::IAC""],""cdk_nag_finding"":{""rule_id"":""AwsSolutions-KMS5"",""resource_id"":""ASHCDKNagScanner/deployment--chat-endpoint.yaml/ChatLambdaEnvEncryptionKey"",""compliance"":""Compliant"",""exception_reason"":""N/A"",""rule_level"":""Error"",""rule_info"":""The KMS Symmetric key does not have automatic key rotation enabled.""},""cfn_resource"":{""Resources"":{""ChatLambdaEnvEncryptionKey"":{""Type"":""AWS::KMS::Key"",""Properties"":{""Description"":""KMS key for Chat Lambda env var encryption"",""EnableKeyRotation"":true,""KeyPolicy"":{""Version"":""2012-10-17"",""Statement"":[{""Sid"":""AllowRootAccount"",""Effect"":""Allow"",""Principal"":{""AWS"":{""Fn::Sub"":""arn:aws:iam::${AWS::AccountId}:root""}},""Action"":""kms:*"",""Resource"":""*""},{""Sid"":""AllowLambdaUse"",""Effect"":""Allow"",""Principal"":{""Service"":""lambda.amazonaws.com""},""Action"":[""kms:Decrypt"",""kms:DescribeKey""],""Resource"":""*""}]}}}}},""scanner_name"":""cdk-nag"",""scanner_version"":""3.2.3"",""scanner_details"":{""tool_name"":""cdk-nag"",""tool_version"":""3.2.3"",""tool_invocation"":{""start_time"":""2026-03-10T20:46:34.416503+00:00"",""end_time"":""2026-03-10T20:46:44.815020+00:00""}}}}"
cdk-nag-AwsSolutions-SQS2-3248,AwsSolutions-SQS2,"The SQS Queue does not have server-side encryption enabled.

Exception Reason: N/A",INFO,cdk-nag,UNKNOWN,AwsSolutions-SQS2,deployment/chat-endpoint.yaml,46,46,,,,False,,,2026-03-10T20:47:19.587468+00:00,"Resources:
  ChatLambdaDLQ:
    Properties:
      MessageRetentionPeriod: 1209600
      QueueName: RestaurantAgent-Chat-DLQ
      SqsManagedSseEnabled: true
    Type: AWS::SQS::Queue","[""aws"", ""cdk"", ""cdk-nag"", ""AwsSolutions"", ""AwsSolutions-SQS2"", ""ChatLambdaDLQ"", ""AWS::SQS::Queue"", ""tool_name::cdk-nag"", ""tool_type::IAC""]","{""tags"": [""aws"", ""cdk"", ""cdk-nag"", ""AwsSolutions"", ""AwsSolutions-SQS2"", ""ChatLambdaDLQ"", ""AWS::SQS::Queue"", ""tool_name::cdk-nag"", ""tool_type::IAC""], ""cdk_nag_finding"": {""rule_id"": ""AwsSolutions-SQS2"", ""resource_id"": ""ASHCDKNagScanner/deployment--chat-endpoint.yaml/ChatLambdaDLQ"", ""compliance"": ""Compliant"", ""exception_reason"": ""N/A"", ""rule_level"": ""Error"", ""rule_info"": ""The SQS Queue does not have server-side encryption enabled.""}, ""cfn_resource"": {""Resources"": {""ChatLambdaDLQ"": {""Type"": ""AWS::SQS::Queue"", ""Properties"": {""QueueName"": ""RestaurantAgent-Chat-DLQ"", ""MessageRetentionPeriod"": 1209600, ""SqsManagedSseEnabled"": true}}}}, ""scanner_name"": ""cdk-nag"", ""scanner_version"": ""3.2.3"", ""scanner_details"": {""tool_name"": ""cdk-nag"", ""tool_version"": ""3.2.3"", ""tool_invocation"": {""start_time"": ""2026-03-10T20:46:34.416503+00:00"", ""end_time"": ""2026-03-10T20:46:44.815020+00:00""}}}",,"{""ruleId"":""AwsSolutions-SQS2"",""ruleIndex"":-1,""kind"":""informational"",""level"":""none"",""message"":{""text"":""The SQS Queue does not have server-side encryption enabled.\n\nException Reason: N/A"",""arguments"":[]},""analysisTarget"":{""uri"":""deployment/chat-endpoint.yaml"",""index"":-1},""locations"":[{""id"":1,""physicalLocation"":{""artifactLocation"":{""uri"":""deployment/chat-endpoint.yaml"",""index"":-1},""region"":{""startLine"":46,""startColumn"":2,""endLine"":46,""endColumn"":15,""charOffset"":-1,""byteOffset"":-1,""snippet"":{""text"":""Resources:\n  ChatLambdaDLQ:\n    Properties:\n      MessageRetentionPeriod: 1209600\n      QueueName: RestaurantAgent-Chat-DLQ\n      SqsManagedSseEnabled: true\n    Type: AWS::SQS::Queue\n""}}},""logicalLocations"":[],""annotations"":[],""relationships"":[]}],""stacks"":[],""codeFlows"":[],""graphs"":[],""graphTraversals"":[],""relatedLocations"":[],""rank"":-1.0,""attachments"":[],""fixes"":[],""taxa"":[],""properties"":{""tags"":[""aws"",""cdk"",""cdk-nag"",""AwsSolutions"",""AwsSolutions-SQS2"",""ChatLambdaDLQ"",""AWS::SQS::Queue"",""tool_name::cdk-nag"",""tool_type::IAC""],""cdk_nag_finding"":{""rule_id"":""AwsSolutions-SQS2"",""resource_id"":""ASHCDKNagScanner/deployment--chat-endpoint.yaml/ChatLambdaDLQ"",""compliance"":""Compliant"",""exception_reason"":""N/A"",""rule_level"":""Error"",""rule_info"":""The SQS Queue does not have server-side encryption enabled.""},""cfn_resource"":{""Resources"":{""ChatLambdaDLQ"":{""Type"":""AWS::SQS::Queue"",""Properties"":{""QueueName"":""RestaurantAgent-Chat-DLQ"",""MessageRetentionPeriod"":1209600,""SqsManagedSseEnabled"":true}}}},""scanner_name"":""cdk-nag"",""scanner_version"":""3.2.3"",""scanner_details"":{""tool_name"":""cdk-nag"",""tool_version"":""3.2.3"",""tool_invocation"":{""start_time"":""2026-03-10T20:46:34.416503+00:00"",""end_time"":""2026-03-10T20:46:44.815020+00:00""}}}}"
